FW,1024,1.5725
FW_SR,1024,256,0.9107
FW_TILED,1024,256,0.9093
FW_TILED_PAR,1024,256,0.9089
FW_TILED_PAR_TASKS,1024,256,0.9090
FW_SR_SECT,1024,256,0.9103
FW_SR_TASKS,1024,256,0.9101

FW,2048,13.2492
FW_SR,2048,256,6.4108
FW_TILED,2048,256,6.3254
FW_TILED_PAR,2048,256,6.3262
FW_TILED_PAR_TASKS,2048,256,6.3626
FW_SR_SECT,2048,256,6.4397
FW_SR_TASKS,2048,256,6.4128

FW,4096,109.0435
FW_SR,4096,256,51.3142
FW_TILED,4096,256,50.8097
FW_TILED_PAR,4096,256,50.7066
FW_TILED_PAR_TASKS,4096,256,50.8299
FW_SR_SECT,4096,256,51.3186
FW_SR_TASKS,4096,256,51.4967

FW,1024,1.5720
FW_SR,1024,256,0.9080
FW_TILED,1024,256,0.9089
FW_TILED_PAR,1024,256,0.9112
FW_TILED_PAR_TASKS,1024,256,0.9095
FW_SR_SECT,1024,256,0.9117
FW_SR_TASKS,1024,256,0.9104

FW,2048,13.2480
FW_SR,2048,256,6.4087
FW_TILED,2048,256,6.3666
FW_TILED_PAR,2048,256,6.3546
FW_TILED_PAR_TASKS,2048,256,6.3158
FW_SR_SECT,2048,256,6.4040
FW_SR_TASKS,2048,256,6.4280

FW,4096,108.9961
FW_SR,4096,256,51.3023
FW_TILED,4096,256,50.8228
FW_TILED_PAR,4096,256,50.5649
FW_TILED_PAR_TASKS,4096,256,50.8277
FW_SR_SECT,4096,256,51.3003
FW_SR_TASKS,4096,256,51.3910

FW,1024,1.5721
FW_SR,1024,256,0.9118
FW_TILED,1024,256,0.9066
FW_TILED_PAR,1024,256,0.9089
FW_TILED_PAR_TASKS,1024,256,0.9111
FW_SR_SECT,1024,256,0.9114
FW_SR_TASKS,1024,256,0.9128

FW,2048,13.2622
FW_SR,2048,256,6.3935
FW_TILED,2048,256,6.3449
FW_TILED_PAR,2048,256,6.3783
FW_TILED_PAR_TASKS,2048,256,6.3627
FW_SR_SECT,2048,256,6.3953
FW_SR_TASKS,2048,256,6.4175

FW,4096,108.9010
FW_SR,4096,256,51.3065
FW_TILED,4096,256,50.8447
FW_TILED_PAR,4096,256,50.5917
FW_TILED_PAR_TASKS,4096,256,50.8592
FW_SR_SECT,4096,256,51.3057
FW_SR_TASKS,4096,256,51.4048

FW,1024,1.5720
FW_SR,1024,256,0.9108
FW_TILED,1024,256,0.9079
FW_TILED_PAR,1024,256,0.9089
FW_TILED_PAR_TASKS,1024,256,0.9117
FW_SR_SECT,1024,256,0.9111
FW_SR_TASKS,1024,256,0.9113

FW,2048,13.2328
FW_SR,2048,256,6.3968
FW_TILED,2048,256,6.3666
FW_TILED_PAR,2048,256,6.3766
FW_TILED_PAR_TASKS,2048,256,6.3501
FW_SR_SECT,2048,256,6.3965
FW_SR_TASKS,2048,256,6.4341

FW,4096,108.9828
FW_SR,4096,256,51.2913
FW_TILED,4096,256,50.8348
FW_TILED_PAR,4096,256,50.5796
FW_TILED_PAR_TASKS,4096,256,50.7278
FW_SR_SECT,4096,256,51.3000
FW_SR_TASKS,4096,256,51.5267

FW,1024,1.5719
FW_SR,1024,256,0.9093
FW_TILED,1024,256,0.9112
FW_TILED_PAR,1024,256,0.9112
FW_TILED_PAR_TASKS,1024,256,0.9066
FW_SR_SECT,1024,256,0.9114
FW_SR_TASKS,1024,256,0.9125

FW,2048,13.2236
FW_SR,2048,256,6.4346
FW_TILED,2048,256,6.3295
FW_TILED_PAR,2048,256,6.3515
FW_TILED_PAR_TASKS,2048,256,6.3792
FW_SR_SECT,2048,256,6.4345
FW_SR_TASKS,2048,256,6.3966

FW,4096,108.9299
FW_SR,4096,256,51.2975
FW_TILED,4096,256,50.8889
FW_TILED_PAR,4096,256,50.5999
FW_TILED_PAR_TASKS,4096,256,50.8585
FW_SR_SECT,4096,256,51.3101
FW_SR_TASKS,4096,256,51.5407

FW,1024,1.5719
FW_SR,1024,256,0.9092
FW_TILED,1024,256,0.9109
FW_TILED_PAR,1024,256,0.9099
FW_TILED_PAR_TASKS,1024,256,0.9066
FW_SR_SECT,1024,256,0.9100
FW_SR_TASKS,1024,256,0.9116

FW,2048,13.2366
FW_SR,2048,256,6.3897
FW_TILED,2048,256,6.3642
FW_TILED_PAR,2048,256,6.3768
FW_TILED_PAR_TASKS,2048,256,6.3482
FW_SR_SECT,2048,256,6.3926
FW_SR_TASKS,2048,256,6.4286

FW,4096,108.9483
FW_SR,4096,256,51.2934
FW_TILED,4096,256,50.8743
FW_TILED_PAR,4096,256,50.5809
FW_TILED_PAR_TASKS,4096,256,50.8720
FW_SR_SECT,4096,256,51.3158
FW_SR_TASKS,4096,256,51.5398

FW,1024,1.5721
FW_SR,1024,256,0.9117
FW_TILED,1024,256,0.9097
FW_TILED_PAR,1024,256,0.9059
FW_TILED_PAR_TASKS,1024,256,0.9090
FW_SR_SECT,1024,256,0.9113
FW_SR_TASKS,1024,256,0.9127

FW,2048,13.2042
FW_SR,2048,256,6.4163
FW_TILED,2048,256,6.3277
FW_TILED_PAR,2048,256,6.3664
FW_TILED_PAR_TASKS,2048,256,6.3774
FW_SR_SECT,2048,256,6.4175
FW_SR_TASKS,2048,256,6.3950

FW,4096,109.0035
FW_SR,4096,256,51.2768
FW_TILED,4096,256,50.8756
FW_TILED_PAR,4096,256,50.5923
FW_TILED_PAR_TASKS,4096,256,50.8423
FW_SR_SECT,4096,256,51.3194
FW_SR_TASKS,4096,256,51.5367
