FW,1024,1.5720
FW_SR,1024,512,1.1019
FW_SR,1024,256,0.9084
FW_SR,1024,128,0.7622
FW_SR,1024,64,0.7786
FW_TILED,1024,512,1.1225
FW_TILED,1024,256,0.9071
FW_TILED,1024,128,0.7659
FW_TILED,1024,64,0.7513
FW_TILED_PARALLEL_FOR,1024,512,1.0994
FW_TILED_PARALLEL_FOR,1024,256,0.9005
FW_TILED_PARALLEL_FOR,1024,128,0.7713
FW_TILED_PARALLEL_FOR,1024,64,0.7510
FW_TILED_PARALLEL_TASKS,1024,512,1.1059
FW_TILED_PARALLEL_TASKS,1024,256,0.9069
FW_TILED_PARALLEL_TASKS,1024,128,0.7666
FW_TILED_PARALLEL_TASKS,1024,64,0.7518
FW_SR_SECTIONS,1024,512,1.1015
FW_SR_SECTIONS,1024,256,0.9082
FW_SR_SECTIONS,1024,128,0.7616
FW_SR_SECTIONS,1024,64,0.7785
FW_SR_TASKS,1024,512,1.1009
FW_SR_TASKS,1024,256,0.9081
FW_SR_TASKS,1024,128,0.7589
FW_SR_TASKS,1024,64,0.7784
FW,2048,13.3214
FW_SR,2048,1024,8.6611
FW_SR,2048,512,6.9801
FW_SR,2048,256,6.3978
FW_SR,2048,128,5.6226
FW_SR,2048,64,6.1325
FW_TILED,2048,1024,8.8399
FW_TILED,2048,512,7.0097
FW_TILED,2048,256,6.3333
FW_TILED,2048,128,5.6012
FW_TILED,2048,64,5.9127
FW_TILED_PARALLEL_FOR,2048,1024,8.6486
FW_TILED_PARALLEL_FOR,2048,512,6.9759
FW_TILED_PARALLEL_FOR,2048,256,6.3349
FW_TILED_PARALLEL_FOR,2048,128,5.6761
FW_TILED_PARALLEL_FOR,2048,64,5.9295
FW_TILED_PARALLEL_TASKS,2048,1024,8.6808
FW_TILED_PARALLEL_TASKS,2048,512,6.9813
FW_TILED_PARALLEL_TASKS,2048,256,6.3756
FW_TILED_PARALLEL_TASKS,2048,128,5.5970
FW_TILED_PARALLEL_TASKS,2048,64,5.9379
FW_SR_SECTIONS,2048,1024,8.6594
FW_SR_SECTIONS,2048,512,6.9775
FW_SR_SECTIONS,2048,256,6.3959
FW_SR_SECTIONS,2048,128,5.6737
FW_SR_SECTIONS,2048,64,6.1433
FW_SR_TASKS,2048,1024,8.6522
FW_SR_TASKS,2048,512,6.9721
FW_SR_TASKS,2048,256,6.3853
FW_SR_TASKS,2048,128,5.6101
FW_SR_TASKS,2048,64,6.1439
FW,4096,109.5017
FW_SR,4096,2048,80.3167
FW_SR,4096,1024,53.7773
FW_SR,4096,512,48.4868
FW_SR,4096,256,51.1754
FW_SR,4096,128,43.1566
FW_SR,4096,64,48.7863
FW_TILED,4096,2048,81.4468
FW_TILED,4096,1024,53.9990
FW_TILED,4096,512,48.3112
FW_TILED,4096,256,50.4728
FW_TILED,4096,128,42.5935
FW_TILED,4096,64,47.3013
FW_TILED_PARALLEL_FOR,4096,2048,80.2059
FW_TILED_PARALLEL_FOR,4096,1024,53.6219
FW_TILED_PARALLEL_FOR,4096,512,48.2607
FW_TILED_PARALLEL_FOR,4096,256,50.6711
FW_TILED_PARALLEL_FOR,4096,128,42.5638
FW_TILED_PARALLEL_FOR,4096,64,47.4157
FW_TILED_PARALLEL_TASKS,4096,2048,80.1840
FW_TILED_PARALLEL_TASKS,4096,1024,53.7548
FW_TILED_PARALLEL_TASKS,4096,512,48.3224
FW_TILED_PARALLEL_TASKS,4096,256,50.8233
FW_TILED_PARALLEL_TASKS,4096,128,41.9682
FW_TILED_PARALLEL_TASKS,4096,64,47.4830
FW_SR_SECTIONS,4096,2048,80.1461
FW_SR_SECTIONS,4096,1024,53.7370
FW_SR_SECTIONS,4096,512,48.4552
FW_SR_SECTIONS,4096,256,51.1673
FW_SR_SECTIONS,4096,128,43.7401
FW_SR_SECTIONS,4096,64,48.8606
FW_SR_TASKS,4096,2048,80.0830
FW_SR_TASKS,4096,1024,53.9107
FW_SR_TASKS,4096,512,48.4678
FW_SR_TASKS,4096,256,51.0117
FW_SR_TASKS,4096,128,42.9133
FW_SR_TASKS,4096,64,48.8991
threads,2
FW,1024,1.5718
FW_SR,1024,512,1.1016
FW_SR,1024,256,0.9081
FW_SR,1024,128,0.7684
FW_SR,1024,64,0.7781
FW_TILED,1024,512,1.1219
FW_TILED,1024,256,0.9071
FW_TILED,1024,128,0.7622
FW_TILED,1024,64,0.7488
FW_TILED_PARALLEL_FOR,1024,512,1.4691
FW_TILED_PARALLEL_FOR,1024,256,0.8207
FW_TILED_PARALLEL_FOR,1024,128,0.5237
FW_TILED_PARALLEL_FOR,1024,64,0.4358
FW_TILED_PARALLEL_TASKS,1024,512,1.9119
FW_TILED_PARALLEL_TASKS,1024,256,1.8763
FW_TILED_PARALLEL_TASKS,1024,128,1.6184
FW_TILED_PARALLEL_TASKS,1024,64,2.3961
FW_SR_SECTIONS,1024,512,0.9591
FW_SR_SECTIONS,1024,256,0.6768
FW_SR_SECTIONS,1024,128,0.5282
FW_SR_SECTIONS,1024,64,0.4643
FW_SR_TASKS,1024,512,0.9569
FW_SR_TASKS,1024,256,0.6525
FW_SR_TASKS,1024,128,0.5670
FW_SR_TASKS,1024,64,0.4548
FW,2048,13.2927
FW_SR,2048,1024,8.6628
FW_SR,2048,512,6.9848
FW_SR,2048,256,6.3971
FW_SR,2048,128,5.6123
FW_SR,2048,64,6.1381
FW_TILED,2048,1024,8.8526
FW_TILED,2048,512,7.0111
FW_TILED,2048,256,6.3347
FW_TILED,2048,128,5.6026
FW_TILED,2048,64,5.9193
FW_TILED_PARALLEL_FOR,2048,1024,10.5988
FW_TILED_PARALLEL_FOR,2048,512,5.8978
FW_TILED_PARALLEL_FOR,2048,256,4.1193
FW_TILED_PARALLEL_FOR,2048,128,3.1920
FW_TILED_PARALLEL_FOR,2048,64,3.1113
FW_TILED_PARALLEL_TASKS,2048,1024,13.3695
FW_TILED_PARALLEL_TASKS,2048,512,11.7888
FW_TILED_PARALLEL_TASKS,2048,256,14.7955
FW_TILED_PARALLEL_TASKS,2048,128,14.8419
FW_TILED_PARALLEL_TASKS,2048,64,27.0768
FW_SR_SECTIONS,2048,1024,7.5397
FW_SR_SECTIONS,2048,512,5.1573
FW_SR_SECTIONS,2048,256,4.1113
FW_SR_SECTIONS,2048,128,3.4543
FW_SR_SECTIONS,2048,64,3.3894
FW_SR_TASKS,2048,1024,7.5019
FW_SR_TASKS,2048,512,4.9842
FW_SR_TASKS,2048,256,3.8927
FW_SR_TASKS,2048,128,3.2439
FW_SR_TASKS,2048,64,3.2996
FW,4096,109.5553
FW_SR,4096,2048,80.1438
FW_SR,4096,1024,53.7402
FW_SR,4096,512,48.4506
FW_SR,4096,256,51.1594
FW_SR,4096,128,43.1905
FW_SR,4096,64,48.7970
FW_TILED,4096,2048,81.4868
FW_TILED,4096,1024,53.9712
FW_TILED,4096,512,48.2962
FW_TILED,4096,256,50.4758
FW_TILED,4096,128,41.9771
FW_TILED,4096,64,47.2920
FW_TILED_PARALLEL_FOR,4096,2048,85.4333
FW_TILED_PARALLEL_FOR,4096,1024,42.5708
FW_TILED_PARALLEL_FOR,4096,512,30.2040
FW_TILED_PARALLEL_FOR,4096,256,28.1396
FW_TILED_PARALLEL_FOR,4096,128,22.7155
FW_TILED_PARALLEL_FOR,4096,64,24.3107
FW_TILED_PARALLEL_TASKS,4096,2048,108.3530
FW_TILED_PARALLEL_TASKS,4096,1024,72.5470
FW_TILED_PARALLEL_TASKS,4096,512,89.5010
FW_TILED_PARALLEL_TASKS,4096,256,124.3867
FW_TILED_PARALLEL_TASKS,4096,128,135.2280
FW_TILED_PARALLEL_TASKS,4096,64,223.5382
FW_SR_SECTIONS,4096,2048,74.1923
FW_SR_SECTIONS,4096,1024,39.6919
FW_SR_SECTIONS,4096,512,30.9291
FW_SR_SECTIONS,4096,256,29.3050
FW_SR_SECTIONS,4096,128,24.3421
FW_SR_SECTIONS,4096,64,25.6793
FW_SR_TASKS,4096,2048,68.2265
FW_SR_TASKS,4096,1024,38.3619
FW_SR_TASKS,4096,512,28.9564
FW_SR_TASKS,4096,256,28.3146
FW_SR_TASKS,4096,128,22.8066
FW_SR_TASKS,4096,64,25.4611
threads,4
FW,1024,1.5722
FW_SR,1024,512,1.1015
FW_SR,1024,256,0.9080
FW_SR,1024,128,0.7577
FW_SR,1024,64,0.7778
FW_TILED,1024,512,1.1220
FW_TILED,1024,256,0.9074
FW_TILED,1024,128,0.7607
FW_TILED,1024,64,0.7491
FW_TILED_PARALLEL_FOR,1024,512,2.1466
FW_TILED_PARALLEL_FOR,1024,256,0.9529
FW_TILED_PARALLEL_FOR,1024,128,0.4713
FW_TILED_PARALLEL_FOR,1024,64,0.2878
FW_TILED_PARALLEL_TASKS,1024,512,4.0407
FW_TILED_PARALLEL_TASKS,1024,256,3.3548
FW_TILED_PARALLEL_TASKS,1024,128,2.1861
FW_TILED_PARALLEL_TASKS,1024,64,2.2809
FW_SR_SECTIONS,1024,512,0.9596
FW_SR_SECTIONS,1024,256,0.6765
FW_SR_SECTIONS,1024,128,0.5365
FW_SR_SECTIONS,1024,64,0.4704
FW_SR_TASKS,1024,512,0.9577
FW_SR_TASKS,1024,256,0.6335
FW_SR_TASKS,1024,128,0.4399
FW_SR_TASKS,1024,64,0.3777
FW,2048,13.2892
FW_SR,2048,1024,8.7036
FW_SR,2048,512,6.9772
FW_SR,2048,256,6.4018
FW_SR,2048,128,5.6389
FW_SR,2048,64,6.1760
FW_TILED,2048,1024,8.8493
FW_TILED,2048,512,7.0084
FW_TILED,2048,256,6.3323
FW_TILED,2048,128,5.5990
FW_TILED,2048,64,5.9189
FW_TILED_PARALLEL_FOR,2048,1024,14.4631
FW_TILED_PARALLEL_FOR,2048,512,6.2743
FW_TILED_PARALLEL_FOR,2048,256,3.4904
FW_TILED_PARALLEL_FOR,2048,128,2.0945
FW_TILED_PARALLEL_FOR,2048,64,1.7561
FW_TILED_PARALLEL_TASKS,2048,1024,25.1704
FW_TILED_PARALLEL_TASKS,2048,512,18.2698
FW_TILED_PARALLEL_TASKS,2048,256,16.1102
FW_TILED_PARALLEL_TASKS,2048,128,14.8504
FW_TILED_PARALLEL_TASKS,2048,64,18.6027
FW_SR_SECTIONS,2048,1024,7.5098
FW_SR_SECTIONS,2048,512,5.1628
FW_SR_SECTIONS,2048,256,4.1198
FW_SR_SECTIONS,2048,128,3.4591
FW_SR_SECTIONS,2048,64,3.4158
FW_SR_TASKS,2048,1024,7.5016
FW_SR_TASKS,2048,512,4.8343
FW_SR_TASKS,2048,256,3.3716
FW_SR_TASKS,2048,128,2.5698
FW_SR_TASKS,2048,64,2.4158
FW,4096,109.5156
FW_SR,4096,2048,80.0238
FW_SR,4096,1024,53.6779
FW_SR,4096,512,48.4560
FW_SR,4096,256,51.1619
FW_SR,4096,128,43.2070
FW_SR,4096,64,48.7802
FW_TILED,4096,2048,81.2998
FW_TILED,4096,1024,53.9604
FW_TILED,4096,512,48.2778
FW_TILED,4096,256,50.4666
FW_TILED,4096,128,42.5538
FW_TILED,4096,64,47.2968
FW_TILED_PARALLEL_FOR,4096,2048,115.0704
FW_TILED_PARALLEL_FOR,4096,1024,43.8570
FW_TILED_PARALLEL_FOR,4096,512,23.8293
FW_TILED_PARALLEL_FOR,4096,256,17.6482
FW_TILED_PARALLEL_FOR,4096,128,12.6060
FW_TILED_PARALLEL_FOR,4096,64,12.6534
FW_TILED_PARALLEL_TASKS,4096,2048,190.8892
FW_TILED_PARALLEL_TASKS,4096,1024,133.0406
FW_TILED_PARALLEL_TASKS,4096,512,84.1435
FW_TILED_PARALLEL_TASKS,4096,256,106.4704
FW_TILED_PARALLEL_TASKS,4096,128,103.7584
FW_TILED_PARALLEL_TASKS,4096,64,157.3859
FW_SR_SECTIONS,4096,2048,74.2346
FW_SR_SECTIONS,4096,1024,39.7107
FW_SR_SECTIONS,4096,512,30.9753
FW_SR_SECTIONS,4096,256,29.2977
FW_SR_SECTIONS,4096,128,24.3128
FW_SR_SECTIONS,4096,64,25.6821
FW_SR_TASKS,4096,2048,68.3225
FW_SR_TASKS,4096,1024,37.2047
FW_SR_TASKS,4096,512,25.2480
FW_SR_TASKS,4096,256,20.5417
FW_SR_TASKS,4096,128,16.4500
FW_SR_TASKS,4096,64,20.0193
threads,8
FW,1024,1.5717
FW_SR,1024,512,1.1017
FW_SR,1024,256,0.9084
FW_SR,1024,128,0.7613
FW_SR,1024,64,0.7801
FW_TILED,1024,512,1.1226
FW_TILED,1024,256,0.9069
FW_TILED,1024,128,0.7628
FW_TILED,1024,64,0.7505
FW_TILED_PARALLEL_FOR,1024,512,2.1564
FW_TILED_PARALLEL_FOR,1024,256,0.9651
FW_TILED_PARALLEL_FOR,1024,128,0.4243
FW_TILED_PARALLEL_FOR,1024,64,0.2233
FW_TILED_PARALLEL_TASKS,1024,512,5.1339
FW_TILED_PARALLEL_TASKS,1024,256,4.5869
FW_TILED_PARALLEL_TASKS,1024,128,3.6923
FW_TILED_PARALLEL_TASKS,1024,64,3.6978
FW_SR_SECTIONS,1024,512,0.9602
FW_SR_SECTIONS,1024,256,0.6730
FW_SR_SECTIONS,1024,128,0.5146
FW_SR_SECTIONS,1024,64,0.4612
FW_SR_TASKS,1024,512,0.9544
FW_SR_TASKS,1024,256,0.6322
FW_SR_TASKS,1024,128,0.4412
FW_SR_TASKS,1024,64,0.3315
FW,2048,13.3109
