FW,1024,1.5720
FW_SR,1024,512,1.1015
FW_SR,1024,256,0.9083
FW_SR,1024,128,0.7590
FW_SR,1024,64,0.7781
FW_TILED,1024,512,1.1223
FW_TILED,1024,256,0.9074
FW_TILED,1024,128,0.7615
FW_TILED,1024,64,0.7494
FW_TILED_PARALLEL_FOR,1024,512,2.4380
FW_TILED_PARALLEL_FOR,1024,256,1.0829
FW_TILED_PARALLEL_FOR,1024,128,0.4962
FW_TILED_PARALLEL_FOR,1024,64,0.2289
FW_TILED_PARALLEL_TASKS,1024,512,5.8422
FW_TILED_PARALLEL_TASKS,1024,256,5.6303
FW_TILED_PARALLEL_TASKS,1024,128,4.9207
FW_TILED_PARALLEL_TASKS,1024,64,5.3507
FW_SR_SECTIONS,1024,512,0.9597
FW_SR_SECTIONS,1024,256,0.6728
FW_SR_SECTIONS,1024,128,0.5780
FW_SR_SECTIONS,1024,64,0.4599
FW_SR_TASKS,1024,512,0.9524
FW_SR_TASKS,1024,256,0.6310
FW_SR_TASKS,1024,128,0.4369
FW_SR_TASKS,1024,64,0.3342
FW,2048,13.2925
FW_SR,2048,1024,8.6613
FW_SR,2048,512,6.9800
FW_SR,2048,256,6.3986
FW_SR,2048,128,5.6045
FW_SR,2048,64,6.1339
FW_TILED,2048,1024,8.8477
FW_TILED,2048,512,7.0112
FW_TILED,2048,256,6.3356
FW_TILED,2048,128,5.5922
FW_TILED,2048,64,5.9110
FW_TILED_PARALLEL_FOR,2048,1024,15.4090
FW_TILED_PARALLEL_FOR,2048,512,7.1681
FW_TILED_PARALLEL_FOR,2048,256,3.1882
FW_TILED_PARALLEL_FOR,2048,128,1.4068
FW_TILED_PARALLEL_FOR,2048,64,0.8797
FW_TILED_PARALLEL_TASKS,2048,1024,35.1780
FW_TILED_PARALLEL_TASKS,2048,512,36.9200
FW_TILED_PARALLEL_TASKS,2048,256,32.1109
FW_TILED_PARALLEL_TASKS,2048,128,28.1595
FW_TILED_PARALLEL_TASKS,2048,64,36.2820
FW_SR_SECTIONS,2048,1024,7.5306
FW_SR_SECTIONS,2048,512,5.1418
FW_SR_SECTIONS,2048,256,4.0980
FW_SR_SECTIONS,2048,128,3.5642
FW_SR_SECTIONS,2048,64,3.4755
FW_SR_TASKS,2048,1024,7.5071
FW_SR_TASKS,2048,512,4.8258
FW_SR_TASKS,2048,256,3.3433
FW_SR_TASKS,2048,128,2.4247
FW_SR_TASKS,2048,64,1.9753
FW,4096,109.5201
FW_SR,4096,2048,80.3438
FW_SR,4096,1024,53.7116
FW_SR,4096,512,48.4828
FW_SR,4096,256,51.1551
FW_SR,4096,128,43.3007
FW_SR,4096,64,48.7999
FW_TILED,4096,2048,81.5206
FW_TILED,4096,1024,54.0341
FW_TILED,4096,512,48.3113
FW_TILED,4096,256,50.4711
FW_TILED,4096,128,42.6066
FW_TILED,4096,64,47.2911
FW_TILED_PARALLEL_FOR,4096,2048,163.1900
FW_TILED_PARALLEL_FOR,4096,1024,46.2340
FW_TILED_PARALLEL_FOR,4096,512,20.7949
FW_TILED_PARALLEL_FOR,4096,256,10.2124
FW_TILED_PARALLEL_FOR,4096,128,5.5320
FW_TILED_PARALLEL_FOR,4096,64,4.3187
FW_TILED_PARALLEL_TASKS,4096,2048,223.5865
FW_TILED_PARALLEL_TASKS,4096,1024,218.0174
FW_TILED_PARALLEL_TASKS,4096,512,155.9264
FW_TILED_PARALLEL_TASKS,4096,256,166.1126
FW_TILED_PARALLEL_TASKS,4096,128,187.0958
FW_TILED_PARALLEL_TASKS,4096,64,242.2795
FW_SR_SECTIONS,4096,2048,75.5040
FW_SR_SECTIONS,4096,1024,39.8578
FW_SR_SECTIONS,4096,512,30.8944
FW_SR_SECTIONS,4096,256,29.3636
FW_SR_SECTIONS,4096,128,24.4278
FW_SR_SECTIONS,4096,64,25.7569
FW_SR_TASKS,4096,2048,68.2316
FW_SR_TASKS,4096,1024,37.2017
FW_SR_TASKS,4096,512,25.2566
FW_SR_TASKS,4096,256,19.3884
FW_SR_TASKS,4096,128,13.5287
FW_SR_TASKS,4096,64,11.4726
