Method,Xsize,Ysize,Px,Py,Iterations,ComputationTime,TotalTime,midpoint

Jacobi_conv,1024,1024,8,8,5301,0.265200,1.602939,0.006089
Jacobi_conv,1024,1024,4,16,8901,0.446274,3.498952,0.014335
Jacobi_conv,1024,1024,2,32,24601,1.370186,14.578583,0.045104

Jacobi_NO_conv,2048,2048,1,1,256,8.410703,8.410942,0.000000
Jacobi_NO_conv,2048,2048,1,2,256,4.215520,4.348714,0.189836
Jacobi_NO_conv,2048,2048,2,2,256,2.107957,2.364678,0.195487
Jacobi_NO_conv,2048,2048,2,4,256,1.051019,1.390049,0.186632
Jacobi_NO_conv,2048,2048,4,4,256,0.682549,1.020133,0.098083
Jacobi_NO_conv,2048,2048,4,8,256,0.258491,0.610549,0.093655
Jacobi_NO_conv,2048,2048,8,8,256,0.055267,0.419186,0.049381
Jacobi_NO_conv,4096,4096,1,1,256,33.659083,33.659488,0.000000
Jacobi_NO_conv,4096,4096,1,2,256,16.858551,17.076251,0.379294
Jacobi_NO_conv,4096,4096,2,2,256,8.431005,9.161050,0.390296
Jacobi_NO_conv,4096,4096,2,4,256,4.227256,5.262633,0.372586
Jacobi_NO_conv,4096,4096,4,4,256,3.108055,4.161412,0.195487
Jacobi_NO_conv,4096,4096,4,8,256,2.821428,3.974441,0.186632
Jacobi_NO_conv,4096,4096,8,8,256,2.461439,3.633168,0.098083
Jacobi_NO_conv,6144,6144,1,1,256,75.825077,75.825446,0.000000
Jacobi_NO_conv,6144,6144,1,2,256,37.921907,38.219637,0.568751
Jacobi_NO_conv,6144,6144,2,2,256,18.964788,20.478769,0.585105
Jacobi_NO_conv,6144,6144,2,4,256,9.503679,11.680489,0.558540
Jacobi_NO_conv,6144,6144,4,4,256,7.005649,9.253665,0.292892
Jacobi_NO_conv,6144,6144,4,8,256,6.382035,8.953169,0.279609
Jacobi_NO_conv,6144,6144,8,8,256,6.029611,8.474100,0.146785

Gauss-Seidel,1024,1024,8,8,3401,0.639876,2.357504,0.008649
Gauss-Seidel,1024,1024,4,16,6801,1.200689,6.938097,0.017007
Gauss-Seidel,1024,1024,2,32,21301,3.579378,25.747155,0.047624

Gauss-Seidel_NO_conv,2048,2048,1,1,256,12.107303,12.107599,0.000000
Gauss-Seidel_NO_conv,2048,2048,1,2,256,15.798672,22.164868,0.140482
Gauss-Seidel_NO_conv,2048,2048,2,2,256,7.429099,12.248669,0.208728
Gauss-Seidel_NO_conv,2048,2048,2,4,256,3.474266,5.404841,0.199260
Gauss-Seidel_NO_conv,2048,2048,4,4,256,0.776727,2.045212,0.104620
Gauss-Seidel_NO_conv,2048,2048,4,8,256,0.379120,1.219361,0.099886
Gauss-Seidel_NO_conv,2048,2048,8,8,256,0.190632,0.801143,0.052566
Gauss-Seidel_NO_conv,4096,4096,1,1,256,48.425008,48.425397,0.000000
Gauss-Seidel_NO_conv,4096,4096,1,2,256,48.204769,72.994377,0.280721
Gauss-Seidel_NO_conv,4096,4096,2,2,256,25.785692,50.081990,0.416944
Gauss-Seidel_NO_conv,4096,4096,2,4,256,15.305664,30.666769,0.398008
Gauss-Seidel_NO_conv,4096,4096,4,4,256,7.584286,14.398627,0.208728
Gauss-Seidel_NO_conv,4096,4096,4,8,256,3.549441,7.494239,0.199260
Gauss-Seidel_NO_conv,4096,4096,8,8,256,1.291302,3.773559,0.104620
Gauss-Seidel_NO_conv,6144,6144,1,1,256,108.979041,108.979527,0.000000
Gauss-Seidel_NO_conv,6144,6144,1,2,256,90.535186,145.855857,0.420959
Gauss-Seidel_NO_conv,6144,6144,2,2,256,53.161548,99.595505,0.625159
Gauss-Seidel_NO_conv,6144,6144,2,4,256,30.827372,64.589711,0.596755
Gauss-Seidel_NO_conv,6144,6144,4,4,256,15.393219,33.331026,0.312836
Gauss-Seidel_NO_conv,6144,6144,4,8,256,7.131075,17.534248,0.298634
Gauss-Seidel_NO_conv,6144,6144,8,8,256,3.512029,9.431862,0.156674

Red-Black-SOR_conv,1024,1024,8,8,2701,0.363552,1.631402,0.006062
Red-Black-SOR_conv,1024,1024,4,16,5401,0.693869,4.278004,0.013986
Red-Black-SOR_conv,1024,1024,2,32,21401,2.698515,25.040825,0.043930

Red-Black-SOR_NO_conv,2048,2048,1,1,256,21.141201,21.141881,0.000000
Red-Black-SOR_NO_conv,2048,2048,1,2,256,10.580853,10.844665,0.134405
Red-Black-SOR_NO_conv,2048,2048,2,2,256,5.298123,5.662307,0.139186
Red-Black-SOR_NO_conv,2048,2048,2,4,256,2.651753,3.106385,0.132881
Red-Black-SOR_NO_conv,2048,2048,4,4,256,1.388123,1.839185,0.069833
Red-Black-SOR_NO_conv,2048,2048,4,8,256,0.505807,0.966553,0.066681
Red-Black-SOR_NO_conv,2048,2048,8,8,256,0.140659,0.600707,0.035157
Red-Black-SOR_NO_conv,4096,4096,1,1,256,84.607920,84.608802,0.000000
Red-Black-SOR_NO_conv,4096,4096,1,2,256,42.317620,42.742801,0.268541
Red-Black-SOR_NO_conv,4096,4096,2,2,256,21.180076,22.060113,0.277892
Red-Black-SOR_NO_conv,4096,4096,2,4,256,10.597563,11.806485,0.265283
Red-Black-SOR_NO_conv,4096,4096,4,4,256,6.352915,7.515724,0.139186
Red-Black-SOR_NO_conv,4096,4096,4,8,256,5.718988,6.945334,0.132881
Red-Black-SOR_NO_conv,4096,4096,8,8,256,4.823667,6.215700,0.069833
Red-Black-SOR_NO_conv,6144,6144,1,1,256,190.705419,190.706388,0.000000
Red-Black-SOR_NO_conv,6144,6144,1,2,256,95.186262,95.786323,0.402678
Red-Black-SOR_NO_conv,6144,6144,2,2,256,47.623158,49.337010,0.416598
Red-Black-SOR_NO_conv,6144,6144,2,4,256,23.839136,26.257929,0.397684
Red-Black-SOR_NO_conv,6144,6144,4,4,256,14.363824,16.726081,0.208539
Red-Black-SOR_NO_conv,6144,6144,4,8,256,13.125001,15.680772,0.199082
Red-Black-SOR_NO_conv,6144,6144,8,8,256,12.140470,14.822416,0.104510
