Method,Xsize,Ysize,Iterations,Time,Midpoint

Jacobi_conv,1024,1024,798200,5794.870274,5.431022
GaussSeidelSOR_conv,1024,1024,3200,37.921581,5.642998
RedBlackSOR_conv,1024,1024,2500,31.639503,5.642974s
Jacobi_NO_conv,1024,1024,255,1.857992,0.000000
Jacobi_NO_conv,2048,2048,255,7.478190,0.000000
Jacobi_NO_conv,4096,4096,255,30.102561,0.000000
Jacobi_NO_conv,6144,6144,255,66.939284,0.000000
GaussSeidelSOR_NO_conv,1024,1024,255,3.030983,0.788208
GaussSeidelSOR_NO_conv,2048,2048,255,12.079472,0.849018
GaussSeidelSOR_NO_conv,4096,4096,255,48.248115,0.900935
GaussSeidelSOR_NO_conv,6144,6144,255,108.553699,0.942706
RedBlackSOR_NO_conv,1024,1024,255,3.234492,0.000000
RedBlackSOR_NO_conv,2048,2048,255,13.322235,0.000000
RedBlackSOR_NO_conv,4096,4096,255,53.814167,0.000000
RedBlackSOR_NO_conv,6144,6144,255,119.205822,0.000000
