Nthreads, Runtime(sec), Throughput(Kops/sec), MT_CONF
1, 10, 1283.64, (0)
1, 10, 322.66, (0)
1, 10, 50.18, (0)
2, 10, 2422.71, (0,1)
2, 10, 394.70, (0,1)
2, 10, 51.67, (0,1)
4, 10, 4463.11, (0,1,2,3)
4, 10, 398.12, (0,1,2,3)
4, 10, 51.70, (0,1,2,3)
8, 10, 3452.11, (0,1,2,3,4,5,6,7)
8, 10, 393.22, (0,1,2,3,4,5,6,7)
8, 10, 51.44, (0,1,2,3,4,5,6,7)
16, 10, 836.70, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 320.27, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 49.12, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
32, 10, 519.55, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 275.46, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 47.73, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
64, 10, 308.80, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 206.90, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 43.99, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
