Nthreads, Runtime(sec), Throughput(Kops/sec), MT_CONF
1, 10, 1259.12, (0)
1, 10, 324.49, (0)
1, 10, 50.30, (0)
2, 10, 2518.38, (0,1)
2, 10, 655.58, (0,1)
2, 10, 100.76, (0,1)
4, 10, 5035.52, (0,1,2,3)
4, 10, 1311.17, (0,1,2,3)
4, 10, 201.50, (0,1,2,3)
8, 10, 10064.23, (0,1,2,3,4,5,6,7)
8, 10, 2613.27, (0,1,2,3,4,5,6,7)
8, 10, 402.15, (0,1,2,3,4,5,6,7)
16, 10, 20090.80, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 5235.42, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 803.83, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
32, 10, 40201.32, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 10463.38, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 1604.14, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
64, 10, 66112.16, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 18100.63, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 2682.86, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
