Nthreads, Runtime(sec), Throughput(Kops/sec), MT_CONF
1, 10, 1262.30, (0)
1, 10, 318.86, (0)
1, 10, 50.16, (0)
2, 10, 2490.15, (0,1)
2, 10, 398.03, (0,1)
2, 10, 51.91, (0,1)
4, 10, 4911.47, (0,1,2,3)
4, 10, 393.68, (0,1,2,3)
4, 10, 51.53, (0,1,2,3)
8, 10, 2673.22, (0,1,2,3,4,5,6,7)
8, 10, 388.36, (0,1,2,3,4,5,6,7)
8, 10, 51.51, (0,1,2,3,4,5,6,7)
16, 10, 595.07, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 265.30, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 48.11, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
32, 10, 207.68, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 168.18, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 45.56, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
64, 10, 432.01, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 309.50, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 50.39, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
