Nthreads, Runtime(sec), Throughput(Kops/sec), MT_CONF
1, 10, 1304.21, (0)
1, 10, 321.99, (0)
1, 10, 50.23, (0)
2, 10, 2423.62, (0,1)
2, 10, 401.91, (0,1)
2, 10, 51.91, (0,1)
4, 10, 4685.71, (0,1,2,3)
4, 10, 395.12, (0,1,2,3)
4, 10, 51.73, (0,1,2,3)
8, 10, 2606.60, (0,1,2,3,4,5,6,7)
8, 10, 389.04, (0,1,2,3,4,5,6,7)
8, 10, 51.72, (0,1,2,3,4,5,6,7)
16, 10, 637.98, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 274.24, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
16, 10, 47.02, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)
32, 10, 223.26, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 172.99, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
32, 10, 45.36, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31)
64, 10, 400.70, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 283.13, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
64, 10, 48.18, (0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63)
