Nthreads, Throughput(Kops/sec), Runtime(sec), Workload, List_size

1, 208.34, 10, (80/10/10), 1024
2, 166.02, 10, (80/10/10), 1024
4, 265.21, 10, (80/10/10), 1024
8, 433.87, 10, (80/10/10), 1024
16, 222.32, 10, (80/10/10), 1024
32, 269.28, 10, (80/10/10), 1024
64, 278.05, 10, (80/10/10), 1024

1, 23.57, 10, (80/10/10), 8192
2, 23.01, 10, (80/10/10), 8192
4, 37.42, 10, (80/10/10), 8192
8, 66.34, 10, (80/10/10), 8192
16, 38.85, 10, (80/10/10), 8192
32, 40.10, 10, (80/10/10), 8192
64, 50.97, 10, (80/10/10), 8192

1, 212.49, 10, (20/40/40), 1024
2, 179.13, 10, (20/40/40), 1024
4, 282.26, 10, (20/40/40), 1024
8, 429.30, 10, (20/40/40), 1024
16, 200.31, 10, (20/40/40), 1024
32, 266.93, 10, (20/40/40), 1024
64, 273.71, 10, (20/40/40), 1024

1, 25.46, 10, (20/40/40), 8192
2, 21.03, 10, (20/40/40), 8192
4, 35.74, 10, (20/40/40), 8192
8, 64.33, 10, (20/40/40), 8192
16, 39.72, 10, (20/40/40), 8192
32, 49.24, 10, (20/40/40), 8192
64, 81.67, 10, (20/40/40), 8192
