Nthreads, Throughput(Kops/sec), Runtime(sec), Workload, List_size

1, 496.58, 10, (80/10/10), 1024
2, 742.38, 10, (80/10/10), 1024
4, 870.42, 10, (80/10/10), 1024
8, 1355.10, 10, (80/10/10), 1024
16, 1122.70, 10, (80/10/10), 1024
32, 4334.58, 10, (80/10/10), 1024
64, 7257.05, 10, (80/10/10), 1024

1, 40.84, 10, (80/10/10), 8192
2, 78.55, 10, (80/10/10), 8192
4, 154.84, 10, (80/10/10), 8192
8, 253.58, 10, (80/10/10), 8192
16, 407.64, 10, (80/10/10), 8192
32, 712.34, 10, (80/10/10), 8192
64, 845.38, 10, (80/10/10), 8192

1, 471.75, 10, (20/40/40), 1024
2, 667.98, 10, (20/40/40), 1024
4, 827.40, 10, (20/40/40), 1024
8, 1309.45, 10, (20/40/40), 1024
16, 963.62, 10, (20/40/40), 1024
32, 3189.40, 10, (20/40/40), 1024
64, 5231.57, 10, (20/40/40), 1024

1, 41.69, 10, (20/40/40), 8192
2, 82.28, 10, (20/40/40), 8192
4, 161.69, 10, (20/40/40), 8192
8, 264.01, 10, (20/40/40), 8192
16, 406.69, 10, (20/40/40), 8192
32, 683.07, 10, (20/40/40), 8192
64, 886.08, 10, (20/40/40), 8192
