Nthreads, Throughput(Kops/sec), Runtime(sec), Workload, List_size
serial 1024
1, 489.93, 10, (80/10/10), 1024

serial 8192
1, 46.07, 10, (80/10/10), 8192

serial 1024
1, 414.69, 10, (20/40/40), 1024

serial 8192
1, 47.77, 10, (20/40/40), 8192

fgl 1024
1, 208.34, 10, (80/10/10), 1024
2, 166.02, 10, (80/10/10), 1024
4, 265.21, 10, (80/10/10), 1024
8, 433.87, 10, (80/10/10), 1024
16, 222.32, 10, (80/10/10), 1024
32, 269.28, 10, (80/10/10), 1024
64, 278.05, 10, (80/10/10), 1024

fgl 8192
1, 23.57, 10, (80/10/10), 8192
2, 23.01, 10, (80/10/10), 8192
4, 37.42, 10, (80/10/10), 8192
8, 66.34, 10, (80/10/10), 8192
16, 38.85, 10, (80/10/10), 8192
32, 40.10, 10, (80/10/10), 8192
64, 50.97, 10, (80/10/10), 8192

fgl 1024
1, 212.49, 10, (20/40/40), 1024
2, 179.13, 10, (20/40/40), 1024
4, 282.26, 10, (20/40/40), 1024
8, 429.30, 10, (20/40/40), 1024
16, 200.31, 10, (20/40/40), 1024
32, 266.93, 10, (20/40/40), 1024
64, 273.71, 10, (20/40/40), 1024

fgl 8192
1, 25.46, 10, (20/40/40), 8192
2, 21.03, 10, (20/40/40), 8192
4, 35.74, 10, (20/40/40), 8192
8, 64.33, 10, (20/40/40), 8192
16, 39.72, 10, (20/40/40), 8192
32, 49.24, 10, (20/40/40), 8192
64, 81.67, 10, (20/40/40), 8192

opt 1024
1, 29.68, 10, (80/10/10), 1024
2, 36.08, 10, (80/10/10), 1024
4, 58.64, 10, (80/10/10), 1024
8, 77.18, 10, (80/10/10), 1024
16, 100.39, 10, (80/10/10), 1024
32, 141.63, 10, (80/10/10), 1024
64, 171.55, 10, (80/10/10), 1024

opt 8192
1, 11.83, 10, (80/10/10), 8192
2, 17.72, 10, (80/10/10), 8192
4, 26.23, 10, (80/10/10), 8192
8, 35.80, 10, (80/10/10), 8192
16, 48.38, 10, (80/10/10), 8192
32, 69.84, 10, (80/10/10), 8192
64, 86.02, 10, (80/10/10), 8192

opt 1024
1, 16.48, 10, (20/40/40), 1024
2, 23.79, 10, (20/40/40), 1024
4, 34.12, 10, (20/40/40), 1024
8, 43.46, 10, (20/40/40), 1024
16, 57.49, 10, (20/40/40), 1024
32, 82.02, 10, (20/40/40), 1024
64, 99.16, 10, (20/40/40), 1024

opt 8192
1,  6.65, 10, (20/40/40), 8192
2,  9.94, 10, (20/40/40), 8192
4, 14.82, 10, (20/40/40), 8192
8, 20.32, 10, (20/40/40), 8192
16, 28.21, 10, (20/40/40), 8192
32, 40.47, 10, (20/40/40), 8192
64, 51.87, 10, (20/40/40), 8192

lazy 1024
1, 496.58, 10, (80/10/10), 1024
2, 742.38, 10, (80/10/10), 1024
4, 870.42, 10, (80/10/10), 1024
8, 1355.10, 10, (80/10/10), 1024
16, 1122.70, 10, (80/10/10), 1024
32, 4334.58, 10, (80/10/10), 1024
64, 7257.05, 10, (80/10/10), 1024

lazy 8192
1, 40.84, 10, (80/10/10), 8192
2, 78.55, 10, (80/10/10), 8192
4, 154.84, 10, (80/10/10), 8192
8, 253.58, 10, (80/10/10), 8192
16, 407.64, 10, (80/10/10), 8192
32, 712.34, 10, (80/10/10), 8192
64, 845.38, 10, (80/10/10), 8192

lazy 1024
1, 471.75, 10, (20/40/40), 1024
2, 667.98, 10, (20/40/40), 1024
4, 827.40, 10, (20/40/40), 1024
8, 1309.45, 10, (20/40/40), 1024
16, 963.62, 10, (20/40/40), 1024
32, 3189.40, 10, (20/40/40), 1024
64, 5231.57, 10, (20/40/40), 1024

lazy 8192
1, 41.69, 10, (20/40/40), 8192
2, 82.28, 10, (20/40/40), 8192
4, 161.69, 10, (20/40/40), 8192
8, 264.01, 10, (20/40/40), 8192
16, 406.69, 10, (20/40/40), 8192
32, 683.07, 10, (20/40/40), 8192
64, 886.08, 10, (20/40/40), 8192

nb 1024
1, 331.90, 10, (80/10/10), 1024
2, 639.11, 10, (80/10/10), 1024
4, 1255.71, 10, (80/10/10), 1024
8, 2269.52, 10, (80/10/10), 1024
16, 3878.05, 10, (80/10/10), 1024
32, 6186.51, 10, (80/10/10), 1024
64, 8751.04, 10, (80/10/10), 1024

nb 8192
1, 27.05, 10, (80/10/10), 8192
2, 53.41, 10, (80/10/10), 8192
4, 105.06, 10, (80/10/10), 8192
8, 189.53, 10, (80/10/10), 8192
16, 335.95, 10, (80/10/10), 8192
32, 599.75, 10, (80/10/10), 8192
64, 802.19, 10, (80/10/10), 8192

nb 1024
1, 231.59, 10, (20/40/40), 1024
2, 448.98, 10, (20/40/40), 1024
4, 883.99, 10, (20/40/40), 1024
8, 1703.34, 10, (20/40/40), 1024
16, 2721.78, 10, (20/40/40), 1024
32, 4464.94, 10, (20/40/40), 1024
64, 6575.84, 10, (20/40/40), 1024

nb 8192
1, 21.84, 10, (20/40/40), 8192
2, 43.93, 10, (20/40/40), 8192
4, 86.26, 10, (20/40/40), 8192
8, 159.49, 10, (20/40/40), 8192
16, 289.66, 10, (20/40/40), 8192
32, 536.10, 10, (20/40/40), 8192
64, 783.82, 10, (20/40/40), 8192
