Nthreads, Throughput(Kops/sec), Runtime(sec), Workload, List_size

1, 331.90, 10, (80/10/10), 1024
2, 639.11, 10, (80/10/10), 1024
4, 1255.71, 10, (80/10/10), 1024
8, 2269.52, 10, (80/10/10), 1024
16, 3878.05, 10, (80/10/10), 1024
32, 6186.51, 10, (80/10/10), 1024
64, 8751.04, 10, (80/10/10), 1024

1, 27.05, 10, (80/10/10), 8192
2, 53.41, 10, (80/10/10), 8192
4, 105.06, 10, (80/10/10), 8192
8, 189.53, 10, (80/10/10), 8192
16, 335.95, 10, (80/10/10), 8192
32, 599.75, 10, (80/10/10), 8192
64, 802.19, 10, (80/10/10), 8192

1, 231.59, 10, (20/40/40), 1024
2, 448.98, 10, (20/40/40), 1024
4, 883.99, 10, (20/40/40), 1024
8, 1703.34, 10, (20/40/40), 1024
16, 2721.78, 10, (20/40/40), 1024
32, 4464.94, 10, (20/40/40), 1024
64, 6575.84, 10, (20/40/40), 1024

1, 21.84, 10, (20/40/40), 8192
2, 43.93, 10, (20/40/40), 8192
4, 86.26, 10, (20/40/40), 8192
8, 159.49, 10, (20/40/40), 8192
16, 289.66, 10, (20/40/40), 8192
32, 536.10, 10, (20/40/40), 8192
64, 783.82, 10, (20/40/40), 8192
